itemId,title,thumbnail,genre
tt0073707,Sholay,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Sholay-poster.jpg/220px-Sholay-poster.jpg,Action|Adventure|Comedy
tt0246825,Om Dar-B-Dar,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Avant_Garde_Omdarbadar_Kamal_Swaroop_Poster.jpg/220px-Avant_Garde_Omdarbadar_Kamal_Swaroop_Poster.jpg,Drama
tt0403935,Action Jackson,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Action_Jackson_Poster.jpeg/220px-Action_Jackson_Poster.jpeg,Action|Thriller
tt0443331,Milenge Milenge,https://upload.wikimedia.org/wikipedia/en/7/7f/Milenge_Milenge.jpg,Drama|Romance
tt0839742,Bhopal: A Prayer for Rain,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Bhopal_a_prayer_for_rain_poster.jpg/220px-Bhopal_a_prayer_for_rain_poster.jpg,Drama
tt0988655,A Flat,https://upload.wikimedia.org/wikipedia/en/b/bd/AFlat2010Film.jpg,Drama|Horror|Romance
tt10017956,Gone Kesh,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Gone_Kesh_film_poster.jpg/220px-Gone_Kesh_film_poster.jpg,Drama
tt10196464,Ramprasad Ki Tehrvi,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Ramprasad_Ki_Tehrvi.jpg/220px-Ramprasad_Ki_Tehrvi.jpg,Comedy|Drama
tt10324144,Article 15,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg,Crime|Drama
tt10443846,Yeh Saali Aashiqui,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Yeh_Saali_Aashiqui_film_poster.jpg/220px-Yeh_Saali_Aashiqui_film_poster.jpg,Thriller
tt10635372,Dee Saturday Night,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Dee-saturday-night-01.jpg/220px-Dee-saturday-night-01.jpg,Drama
tt10816510,P Se Pyaar F Se Faraar,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg,Crime|Drama|Romance
tt11007050,#Yaaram,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg,Comedy|Romance
tt11046300,Ujda Chaman,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ujda_Chaman_Film_Poster.jpg/220px-Ujda_Chaman_Film_Poster.jpg,Comedy
tt1124386,Pankh,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Pankh_poster.JPG/220px-Pankh_poster.JPG,Drama
tt1127220,Mr Bhatti on Chutti,https://upload.wikimedia.org/wikipedia/en/b/b1/Mr._Bhatti_On_Chutti.jpg,Comedy
tt1172587,Delhi Safari,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Delhi_Safari_Poster.jpg/220px-Delhi_Safari_Poster.jpg,Animation|Comedy|Drama
tt1182884,Dulha Mil Gaya,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Dulha_Mil_Gaya_poster.jpg/220px-Dulha_Mil_Gaya_poster.jpg,Comedy|Drama|Romance
tt1183917,Teen Patti,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Teen_Patti_Movie_Poster.jpg/220px-Teen_Patti_Movie_Poster.jpg,Crime|Drama|Thriller
tt1183944,Sadiyaan: Boundaries Divide... Love Unites,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Sadiyaan2010Poster.jpg/220px-Sadiyaan2010Poster.jpg,Drama|Romance
