itemId,title,thumbnail
1,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022s/3.jpg
3,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443s/41865.jpg
4,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,The Great Gatsby,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,The Hobbit,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735s/960.jpg
10,Pride and Prejudice,https://images.gr-assets.com/books/1320399351s/1885.jpg
11,The Kite Runner,https://images.gr-assets.com/books/1484565687s/77203.jpg
12,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,1984,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,Animal Farm,https://images.gr-assets.com/books/1424037542s/7613.jpg
15,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407s/48855.jpg
16,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566s/2429135.jpg
17,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281s/5.jpg
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339s/34.jpg
20,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547s/2.jpg
22,The Lovely Bones,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725s/15881.jpg
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611s/6.jpg
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184s/136251.jpg
26,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999s/968.jpg
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191s/1.jpg
28,Lord of the Flies,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,Romeo and Juliet,https://images.gr-assets.com/books/1327872146s/18135.jpg
30,Gone Girl,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31,The Help,https://images.gr-assets.com/books/1346100365s/4667024.jpg
32,Of Mice and Men,https://images.gr-assets.com/books/1437235233s/890.jpg
33,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843s/10818853.jpg
35,The Alchemist,https://images.gr-assets.com/books/1483412266s/865.jpg
36,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368s/3636.jpg
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077s/100915.jpg
38,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815s/14050.jpg
39,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693s/13496.jpg
40,"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414s/19501.jpg
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609s/28187.jpg
42,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43,Jane Eyre,https://images.gr-assets.com/books/1327867269s/10210.jpg
44,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917s/15931.jpg
45,Life of Pi,https://images.gr-assets.com/books/1320562005s/4214.jpg
46,Water for Elephants,https://images.gr-assets.com/books/1494428973s/43641.jpg
47,The Book Thief,https://images.gr-assets.com/books/1390053681s/19063.jpg
48,Fahrenheit 451,https://images.gr-assets.com/books/1351643740s/4381.jpg
49,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440s/49041.jpg
50,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315s/256683.jpg
52,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355s/428263.jpg
53,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852s/113436.jpg
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754s/11.jpg
55,Brave New World,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,Charlotte's Web,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,The Girl on the Train,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747s/119322.jpg
63,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,My Sister's Keeper,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,Gone with the Wind,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130s/375802.jpg
71,Frankenstein,https://images.gr-assets.com/books/1381512375s/18490.jpg
72,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730s/11588.jpg
